Feature,Importance
PM2.5,0.9311575934683878
PM2.5_lag_1h,0.006751117977517239
PM10,0.005815407469555224
PM2.5_rolling_3h,0.004764897976158802
Visibility,0.0044938724509754
Humidity,0.003543885466963353
NO2,0.0035300673458520306
Hour,0.0034369950633753544
PM2.5_rolling_24h,0.0033365622169541777
Pressure,0.003299304396045458
PM2.5_rolling_6h,0.00268925484520267
PM2.5_lag_24h,0.0025780690900718372
PM2.5_lag_3h,0.0023933632982653147
PM2.5_lag_6h,0.0021788730050381995
O3,0.0021475521933959183
Pressure_Change,0.002121899788604372
Temperature,0.002060368919496574
Temperature_Humidity,0.0019644485878091184
Dewpoint,0.0019506823334846629
WindDirection,0.001946736653896326
Day,0.0015690601880228015
DayOfYear,0.0014686188022414324
WindSpeed,0.0012261932338350936
WindSpeed_Squared,0.00118397619221212
WeekOfYear,0.0007844552840554969
DayOfWeek,0.0007768424979128257
Year,0.0004216154228836077
Month,0.00029144860449177785
IsWeekend,0.00011683722729514273
